"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:39.2",320,0,0,0,0,0,0
"2023-05-27 08:43:39.25",321,0,0,0,0,0,0
"2023-05-27 08:43:39.3",322,0,0,0,0,0,0
"2023-05-27 08:43:39.35",323,0,0,0,0,0,0
"2023-05-27 08:43:39.4",324,0,0,0,0,0,0
"2023-05-27 08:43:39.45",325,0,0,0,0,0,0
"2023-05-27 08:43:39.5",326,0,0,0,0,0,0
"2023-05-27 08:43:39.55",327,0,0,0,0,0,0
"2023-05-27 08:43:39.6",328,0,0,0,0,0,0
"2023-05-27 08:43:39.65",329,0,0,0,0,0,0
"2023-05-27 08:43:39.7",330,0,0,0,0,0,0
"2023-05-27 08:43:39.75",331,0,0,0,0,0,0
"2023-05-27 08:43:39.8",332,0,0,0,0,0,0
"2023-05-27 08:43:39.85",333,0,0,0,0,0,0
"2023-05-27 08:43:39.9",334,0,0,0,0,0,0
"2023-05-27 08:43:39.95",335,0,0,0,0,0,0
"2023-05-27 08:43:40",336,0,0,0,0,0,0
"2023-05-27 08:43:40.05",337,0,0,0,0,0,0
"2023-05-27 08:43:40.1",338,0,0,0,0,0,0
"2023-05-27 08:43:40.15",339,0,0,0,0,0,0
"2023-05-27 08:43:40.2",340,0,0,0,0,0,0
"2023-05-27 08:43:40.25",341,0,0,0,0,0,0
"2023-05-27 08:43:40.3",342,0,0,0,0,0,0
"2023-05-27 08:43:40.35",343,0,0,0,0,0,0
"2023-05-27 08:43:40.4",344,0,0,0,0,0,0
"2023-05-27 08:43:40.45",345,0,0,0,0,0,0
"2023-05-27 08:43:40.5",346,0,0,0,0,0,0
"2023-05-27 08:43:40.55",347,0,0,0,0,0,0
"2023-05-27 08:43:40.6",348,0,0,0,0,0,0
"2023-05-27 08:43:40.65",349,0,0,0,0,0,0
"2023-05-27 08:43:40.7",350,0,0,0,0,0,0
"2023-05-27 08:43:40.75",351,0,0,0,0,0,0
"2023-05-27 08:43:40.8",352,0,0,0,0,0,0
"2023-05-27 08:43:40.85",353,0,0,0,0,0,0
"2023-05-27 08:43:40.9",354,0,0,0,0,0,0
