"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:15.1",268,0,0,0,0,0,0
"2023-05-26 14:41:15.15",269,0,0,0,0,0,0
"2023-05-26 14:41:15.2",270,0,0,0,0,0,0
"2023-05-26 14:41:15.25",271,0,0,0,0,0,0
"2023-05-26 14:41:15.3",272,0,0,0,0,0,0
"2023-05-26 14:41:15.35",273,0,0,0,0,0,0
"2023-05-26 14:41:15.4",274,0,0,0,0,0,0
"2023-05-26 14:41:15.45",275,0,0,0,0,0,0
"2023-05-26 14:41:15.5",276,0,0,0,0,0,0
"2023-05-26 14:41:15.55",277,0,0,0,0,0,0
"2023-05-26 14:41:15.6",278,0,0,0,0,0,0
"2023-05-26 14:41:15.65",279,0,0,0,0,0,0
"2023-05-26 14:41:15.7",280,0,0,0,0,0,0
"2023-05-26 14:41:15.75",281,0,0,0,0,0,0
"2023-05-26 14:41:15.8",282,0,0,0,0,0,0
"2023-05-26 14:41:15.85",283,0,0,0,0,0,0
"2023-05-26 14:41:15.9",284,0,0,0,0,0,0
"2023-05-26 14:41:15.95",285,0,0,0,0,0,0
"2023-05-26 14:41:16",286,0,0,0,0,0,0
"2023-05-26 14:41:16.05",287,0,0,0,0,0,0
"2023-05-26 14:41:16.1",288,0,0,0,0,0,0
"2023-05-26 14:41:16.15",289,0,0,0,0,0,0
"2023-05-26 14:41:16.2",290,0,0,0,0,0,0
"2023-05-26 14:41:16.25",291,0,0,0,0,0,0
"2023-05-26 14:41:16.3",292,0,0,0,0,0,0
"2023-05-26 14:41:16.35",293,0,0,0,0,0,0
"2023-05-26 14:41:16.4",294,0,0,0,0,0,0
"2023-05-26 14:41:16.45",295,0,0,0,0,0,0
"2023-05-26 14:41:16.5",296,0,0,0,0,0,0
"2023-05-26 14:41:16.55",297,0,0,0,0,0,0
"2023-05-26 14:41:16.6",298,0,0,0,0,0,0
"2023-05-26 14:41:16.65",299,0,0,0,0,0,0
"2023-05-26 14:41:16.7",300,0,0,0,0,0,0
"2023-05-26 14:41:16.75",301,0,0,0,0,0,0
"2023-05-26 14:41:16.8",302,0,0,0,0,0,0
"2023-05-26 14:41:16.85",303,0,0,0,0,0,0
"2023-05-26 14:41:16.9",304,0,0,0,0,0,0
"2023-05-26 14:41:16.95",305,0,0,0,0,0,0
"2023-05-26 14:41:17",306,0,0,0,0,0,0
"2023-05-26 14:41:17.05",307,0,0,0,0,0,0
"2023-05-26 14:41:17.1",308,0,0,0,0,0,0
"2023-05-26 14:41:17.15",309,0,0,0,0,0,0
"2023-05-26 14:41:17.2",310,0,0,0,0,0,0
"2023-05-26 14:41:17.25",311,0,0,0,0,0,0
"2023-05-26 14:41:17.3",312,0,0,0,0,0,0
"2023-05-26 14:41:17.35",313,0,0,0,0,0,0
"2023-05-26 14:41:17.4",314,0,0,0,0,0,0
"2023-05-26 14:41:17.45",315,0,0,0,0,0,0
"2023-05-26 14:41:17.5",316,0,0,0,0,0,0
"2023-05-26 14:41:17.55",317,0,0,0,0,0,0
"2023-05-26 14:41:17.6",318,0,0,0,0,0,0
"2023-05-26 14:41:17.65",319,0,0,0,0,0,0
"2023-05-26 14:41:17.7",320,0,0,0,0,0,0
"2023-05-26 14:41:17.75",321,0,0,0,0,0,0
"2023-05-26 14:41:17.8",322,0,0,0,0,0,0
"2023-05-26 14:41:17.85",323,0,0,0,0,0,0
"2023-05-26 14:41:17.9",324,0,0,0,0,0,0
"2023-05-26 14:41:17.95",325,0,0,0,0,0,0
"2023-05-26 14:41:18",326,0,0,0,0,0,0
"2023-05-26 14:41:18.05",327,0,0,0,0,0,0
"2023-05-26 14:41:18.1",328,0,0,0,0,0,0
"2023-05-26 14:41:18.15",329,0,0,0,0,0,0
"2023-05-26 14:41:18.2",330,0,0,0,0,0,0
"2023-05-26 14:41:18.25",331,0,0,0,0,0,0
"2023-05-26 14:41:18.3",332,0,0,0,0,0,0
"2023-05-26 14:41:18.35",333,0,0,0,0,0,0
"2023-05-26 14:41:18.4",334,0,0,0,0,0,0
"2023-05-26 14:41:18.45",335,0,0,0,0,0,0
"2023-05-26 14:41:18.5",336,0,0,0,0,0,0
"2023-05-26 14:41:18.55",337,0,0,0,0,0,0
"2023-05-26 14:41:18.6",338,0,0,0,0,0,0
"2023-05-26 14:41:18.65",339,0,0,0,0,0,0
"2023-05-26 14:41:18.7",340,0,0,0,0,0,0
"2023-05-26 14:41:18.75",341,0,0,0,0,0,0
"2023-05-26 14:41:18.8",342,0,0,0,0,0,0
"2023-05-26 14:41:18.85",343,0,0,0,0,0,0
"2023-05-26 14:41:18.9",344,0,0,0,0,0,0
"2023-05-26 14:41:18.95",345,0,0,0,0,0,0
"2023-05-26 14:41:19",346,0,0,0,0,0,0
"2023-05-26 14:41:19.05",347,0,0,0,0,0,0
"2023-05-26 14:41:19.1",348,0,0,0,0,0,0
